pH,Turbidity,TDS,Conductivity,Dissolved_Oxygen,COD,BOD,Nitrate,Nitrite,Ammonia,Chlorine_Residual,Lead,Mercury,Arsenic,Cadmium,Coliform_Bacteria,Fluoride,Hardness,TSS,Potability
7.51,2.1,1070.39,1823.53,4.42,34.88,10.07,18.89,2.7,1.24,0.5,0.0091,0.0016,0.0418,0.0089,84,2.98,276.45,19.67,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.11,2.37,762.48,1278.08,6.51,13.23,12.37,9.33,3,1.29,0.77,0.0162,0.0003,0.0394,0.0009,16,1.16,341.78,58.51,0
6.49,3.5,439.08,1799.37,13.81,45.65,5.32,22.49,0.62,3.23,1.27,0.0053,0.0009,0.0401,0.0008,16,2.45,220.6,92.54,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.29,4.03,1080.66,1213.73,7.42,38.94,10.74,9.8,0.99,2.12,3.48,0.0161,0.0001,0.0165,0.0008,128,0.64,35.61,16.2,0
6.6,0.47,324.45,452.36,9.8,37.04,8.37,35.48,0.25,1.64,0.18,0.0034,0,0.0056,0.0052,135,2.57,359.82,3.02,0
5.73,2.72,711.41,1147.42,6.55,8.05,1.68,2.79,1.57,2.29,2.44,0.0071,0.0007,0.0488,0.0013,65,2.71,91.64,65.21,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.02,0.59,649.72,694.18,9.58,9.74,1.01,14.56,1.05,4.04,2.14,0.0138,0.0012,0.0126,0.0022,83,1.22,275.94,0.61,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.98,2.99,295.47,772.04,7.65,46.58,2.11,23.76,2.92,4.86,3.26,0.0189,0.0004,0.0441,0.0062,150,2.49,277.43,131.32,0
7.98,0.64,817.86,1294.53,9.88,36.79,10.72,44.9,2.74,3.68,3.74,0.0183,0.0005,0.0176,0.0071,95,0.82,212,130.96,0
6.9,1.3,132.78,1137.25,3.99,21.9,4.46,16.06,1.14,0.16,2.63,0.015,0.0006,0.0096,0.0099,70,0.22,147.95,44.23,0
5.88,1.4,251.38,1968.64,6.57,48.72,5.5,28.88,1.22,2.97,2.37,0.0187,0.0011,0.0291,0.0046,136,1.98,13.34,28.77,0
8.99,3.48,479.02,352.42,9.8,33.05,9.26,31.56,0.89,3.86,2.1,0.0097,0.0012,0.0203,0.0081,33,1.86,442.81,141.18,0
6.48,2.07,549.68,1168.92,7.38,18.02,12.39,28.68,2.18,1.28,1.81,0.0155,0.0014,0.033,0.0078,19,1.44,65.6,143.78,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
7.89,2.25,809.7,544.84,12.36,34.57,3.42,20.12,2.96,1.53,1.13,0.0154,0.0011,0.0025,0.0022,193,0.13,385.37,1.6,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.81,1.2,988.71,1854.11,2.48,13.29,2.84,10.9,2.07,0.3,0.13,0.0011,0.0003,0.0053,0.0087,21,2.08,489.12,70.92,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.96,3.27,713.13,651.59,6.22,11.69,9.65,2.51,0.32,4.81,0.97,0.017,0.0002,0.0023,0.0065,134,1.25,262.3,90.78,0
5.58,2.93,428.72,1561.02,12,47.41,14.18,5.87,2.19,1.6,3.64,0.0188,0.0016,0.0028,0.0084,19,1.67,233.58,134.67,0
8.92,1.65,79.53,270.12,5.61,10.13,4.92,23.28,1.74,0.19,0.14,0.0012,0.0015,0.0212,0.0064,67,1.62,488.78,15.68,0
8.84,2.8,395.13,585.27,11.11,42.62,4.08,21.73,2.17,2.91,0.1,0.0157,0.0005,0.0212,0.0011,143,1.15,129.82,25.19,0
8.52,2.11,915.99,1698.16,4.26,13.09,6.79,48.19,2.2,2.75,0.49,0.0075,0.0014,0.0282,0.0026,168,2.69,69.74,88.38,0
5.91,2.63,418.11,877.21,13.17,46.01,10.38,23.37,2.54,1.24,1.82,0.0112,0.0013,0.0181,0.0043,4,2.4,412.43,126.41,0
7.58,2.06,307.68,905.13,6.47,43.79,3.03,37.61,2.37,2.7,1.1,0.0158,0.0004,0.0469,0.0096,97,1.54,359.79,89.32,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
7.21,3.68,1023.58,1176.36,11.84,18.02,13.25,43.42,0.44,2.59,1.95,0.0009,0.0011,0.0483,0.0054,186,1.61,222.3,53.81,0
7.54,0.9,810.54,1435.71,6.45,8.13,13.72,14.92,0.07,4.51,0.55,0.0113,0.0001,0.0377,0.0029,8,2.83,499.45,23.34,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.64,4.38,620.42,1152.94,2.65,48.07,13.54,43.68,2.46,1.48,2.17,0.0056,0.0015,0.0274,0.0086,6,1.69,255.65,13.21,0
6.95,2.06,1080.79,170.28,4.91,49.9,3.54,3.64,1.17,2.09,3.43,0.0048,0.001,0.0057,0.0077,156,0.19,47.71,87.09,0
8.25,0.35,1104.09,1186.05,5.08,21.34,6.71,40.92,2.34,3.99,1.11,0.0136,0.0015,0.0025,0.0098,198,2.79,465.87,32.44,0
5.94,1.56,652.82,871.11,12.52,33.73,12.04,12.57,0.85,3.53,0.07,0.0179,0.001,0.0141,0.0094,27,1.72,364.38,86.55,0
7.89,1.62,950.25,113.38,8.85,41.99,3.63,47.31,0.62,1.26,2.13,0.0193,0.0008,0.0094,0.0098,97,0.6,473.68,6.18,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.72,1.89,111.44,1027.86,4.02,6.38,8.81,24.92,1.09,4.47,1.81,0.0157,0.0003,0.0228,0.0022,100,2.22,384.66,111.8,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.99,2.03,681.4,149.1,9.64,37.11,14.87,7.3,0.66,2.74,2.74,0.0139,0.0008,0.0381,0.0056,100,0.37,155.58,97.03,0
5.73,1.09,241.46,1618.32,9.8,25.03,14.77,35.85,0.09,3.31,1.61,0.0192,0.0008,0.043,0.0049,108,2.7,383.85,130.67,0
7.56,2.27,1017.06,1208.6,7.98,33.45,6.16,36.29,1.56,0.71,3.16,0.0157,0.0014,0.0338,0.0074,82,2.52,397.15,34.08,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
5.55,1.55,643.06,1679.8,9.36,11.36,10.4,29.34,2.55,3.89,2.53,0.0036,0.0017,0.0119,0.0057,175,1.42,29.69,13.91,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.24,3.78,775.25,1047.87,12.02,15.27,9.21,25.15,0.82,1.15,2.45,0.0129,0.0003,0.0045,0.0019,3,0.36,274.85,53.1,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.22,3.5,757.45,1276.46,11.53,27.6,14.79,33.85,2.83,3.41,0.72,0.0029,0.0012,0.0472,0.0054,57,0.68,442.47,21.6,0
8.04,3.07,614.56,1647,3.25,19.34,9.84,16.43,0.33,4.03,2.02,0.0167,0.0012,0.0152,0.0095,100,2.46,134.36,14.21,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
7.28,4.03,132.16,392.61,9.32,47.35,8.32,46.34,0.42,0.4,0.84,0.007,0.0018,0.0215,0.0081,195,0.37,339.97,94.09,0
6.83,4.75,721.8,318.92,2.45,35.2,13.37,32.35,1.96,2.48,1.55,0.0071,0.0014,0.0187,0.0099,85,2.63,419.69,32.61,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.6,1.49,517.71,1202.7,8.5,26.61,1.77,2.1,1.65,4.34,3.47,0.0061,0.0013,0.0309,0.0038,92,2.59,82.7,36.39,0
7.27,4.36,572.35,1522.96,12.65,18.14,2.76,33.12,0.34,3.19,2.79,0.0125,0.0005,0.0174,0.001,179,1.58,426.89,149.68,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
7.78,2.97,608,862.59,7.11,40.23,12.04,43.07,0.72,0.98,2.63,0.0029,0.0013,0.0099,0.0005,165,2.54,478.93,95.02,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.5,0.7,533.17,1751.88,4.4,26.39,5.24,19.29,0.03,0.54,0.22,0.0061,0.001,0.0389,0.0001,140,1.4,333.25,48.31,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.59,3.1,190.89,294.03,12.94,20.08,3.44,2.66,1.49,2.5,2.07,0.0104,0.001,0.0354,0.0058,165,2.49,55.97,5.91,0
8.8,0.11,664.26,346.28,11.37,7.42,7.55,48.98,2.37,2.2,1.17,0.0177,0.0013,0.0405,0.0076,70,0.52,272.35,118.8,0
8.71,3.79,333.03,443.8,3.59,17.18,6.72,29.35,2.54,3.07,2.06,0.02,0.0017,0.0293,0.0076,167,1.66,486.33,110.65,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.58,0.23,628.82,606.15,7.69,5.07,14.95,28.13,0.53,3.32,1.54,0.0184,0.0002,0.0478,0.0011,115,0.51,242.66,62.98,0
8.14,0.8,346.35,199.28,13.16,33.55,13.18,1.38,0.46,0.83,3.79,0.015,0.0005,0.0263,0.0091,28,0.02,47.81,130.67,0
7.57,3.88,496.38,881.79,5.01,37.4,7.02,10.67,1.15,1.06,3.1,0.0004,0,0.0439,0.0074,173,2.54,334.81,107.27,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
5.95,4.65,1167.97,959.9,7.71,30.81,3.66,21.18,1.69,0.08,1.3,0.0091,0.0007,0.0215,0.006,23,1.53,197.67,18.74,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.36,4.21,852.28,538.6,6.77,33.76,9.74,8.83,2.57,3.61,0.07,0.0189,0.0011,0.0478,0.0076,92,2.85,337.6,57.76,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
5.54,1.61,1086.25,225.6,6.2,22.75,8.18,16.66,0.06,0.01,0.42,0.0054,0.0007,0.0014,0.0098,63,0.24,361.02,9.28,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.23,4.6,537.23,565.88,8.98,17.52,6.78,30.81,1.35,3.28,2.15,0.0128,0.0003,0.0485,0.0027,160,1.75,410.06,109.7,0
8.99,0.1,708.35,1753.22,6.22,46.06,4.59,25.44,0.91,4.36,3.99,0.017,0.0005,0.0396,0.0077,7,2.61,297.99,133.58,0
8.14,3.24,163.47,892.03,8.5,17.15,2.51,18.34,2.17,1.14,0.47,0.0036,0.0016,0.0459,0.0049,48,2.2,242.71,21.94,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.08,0.6,390.67,963.16,6.52,11.43,10.12,48.67,0.04,0.14,0.23,0.0066,0.0017,0.0253,0.0003,87,1.7,91.09,126.96,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
5.89,3.49,154.02,244.4,12.12,47.73,4.84,39.95,0.48,2.02,0.79,0.0132,0.001,0.0089,0.0064,96,1.72,475.04,109.95,0
6.19,3.45,1141.42,709.24,11.13,21.18,10.19,3.6,1.15,0.92,3.62,0.0008,0,0.0426,0.0005,129,0.77,127.99,38.86,0
7.75,4.9,303.74,337.33,10.22,13.89,14.38,9.48,2.08,2.63,2.77,0.0125,0.0015,0.0277,0.0015,83,1.6,58.83,34.99,0
7.74,2.36,408.31,1712.1,9.13,14.78,11.64,35.35,0.07,2.71,0.31,0.0135,0.0019,0.0325,0.0014,14,2.15,319.62,72.01,0
8.25,0.35,1104.09,1186.05,5.08,21.34,6.71,40.92,2.34,3.99,1.11,0.0136,0.0015,0.0025,0.0098,198,2.79,465.87,32.44,0
7.42,3.17,192.25,694.47,13.43,14.56,14.76,7.12,1.95,1.74,3.18,0.0114,0.002,0.015,0.0067,144,1.26,109.42,120.05,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.05,0.32,176.4,782.07,10.26,9.13,3.94,30.87,1.08,2.74,2.01,0.0176,0.0014,0.0343,0.0051,62,1.11,406.52,133.37,0
6.68,4.65,984.45,160.46,5.55,33.44,7.5,25.85,1.62,4.27,2.33,0.0135,0.0011,0.0301,0.0001,104,2.5,28.38,101.77,0
6.62,3.5,489.63,340.92,8.03,32.72,13.93,45.44,0.21,2.23,2.91,0.0139,0.0016,0.0091,0.0066,187,0.45,253.66,101.02,0
8.09,2.29,1198.47,997.08,3.01,18.81,3.86,48.2,2.16,1.26,3.56,0.0107,0.0001,0.038,0.0096,48,1.32,114.54,147.91,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
7.31,0.39,434.62,180.7,5.53,44.92,9.45,9.91,2.78,1.99,2.34,0.0132,0.0003,0.0014,0,143,1.52,345.77,29.13,0
5.69,4.5,265.34,334.8,10.78,49.72,3.39,38.11,2.79,0.23,1.83,0.0188,0.0001,0.0406,0.0016,189,2.53,301.89,111.3,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
7.91,4.45,1087.8,1137.22,2.83,34.93,9.93,49.38,2.69,3.49,0.47,0.0063,0.0018,0.0421,0.0083,126,2.54,269.68,86.2,0
7.36,3.11,374.95,1284.4,11.32,38.7,8.24,11.46,2.37,0.84,3.2,0.0066,0.0006,0.032,0.0074,177,0.27,306.04,113.54,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.52,0.2,687.74,1305.24,8.67,22.38,1.88,7.91,0.01,0.06,2.84,0.0117,0.001,0.0397,0.0096,180,2.52,60.44,79.06,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
7.09,2.54,376.62,1677.98,3.02,48.92,7.02,2.4,2.63,0.51,3.25,0.0011,0.0009,0.0417,0.0095,9,1.29,279.42,148.39,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
5.9,1.26,1095.61,1030.1,8.83,39.1,12.09,4.76,0.12,3.57,2.45,0.0046,0.0007,0.018,0.0094,75,0.22,256.37,55.34,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.68,1.18,840.69,273.12,5.28,6.48,4.41,26.73,1.63,3.81,3.28,0.0182,0.0014,0.0027,0.0077,122,2.12,105.47,12.65,0
6.06,4.37,654.91,1225.94,4.75,29.98,11.68,31.05,1.25,2.26,1.28,0.0053,0.0008,0.0378,0.0007,75,2.45,457.66,105.09,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.01,1.6,153.75,1719.8,13.62,38.47,9.39,33.08,2.28,4.51,3.72,0.0012,0.0014,0.0491,0.0028,171,1.07,109.55,25.77,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.95,3.8,707.25,906.32,3.69,43.96,13.42,4.5,1.21,4.69,2.96,0.0042,0.0001,0.0097,0.0072,128,0.05,314.8,108.03,0
6.19,0.28,526.51,959.38,13.49,36.65,13.9,33.75,0.09,2.02,3.7,0.0024,0,0.0253,0.0092,84,0.55,420.18,85.68,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.12,3.05,371.16,512.66,10.48,29.65,3.36,35.94,0.04,0.26,1.08,0.0173,0.001,0.0295,0.0033,0,2.32,313.66,6.13,0
8.63,1.84,889.88,1588.64,3.04,33.32,1.56,45.93,2.65,0.55,0.21,0.0083,0.0011,0.0161,0.0017,110,0.05,389.34,47.11,0
6.47,3.03,743.38,270.74,12.88,28.28,3.75,44.11,0.87,3.58,0.85,0.0174,0.0014,0.0337,0.0084,149,1.85,34.22,53.41,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.78,3.59,709.35,1286.83,12.11,34.12,14.78,23.88,2.57,2.36,3.33,0.0065,0.0014,0.0459,0.0057,153,2.64,188.5,90.57,0
5.56,3.13,943.43,1663.01,5.27,12.44,7.12,43.18,1.45,3.33,3.06,0.0092,0.0016,0.0146,0.0031,63,2.76,188.98,66.41,0
7.89,4.36,1150.01,147.41,11.35,16.62,9.74,4,0.44,3.35,3.68,0.0062,0.0014,0.0463,0.0041,107,0.54,259.68,1,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.74,0.45,560.3,1786.39,4.87,36.72,4.42,19.46,1.85,2.09,1.85,0.0059,0.0004,0.023,0.0046,152,0.83,82.1,10.02,0
5.93,0.95,837.22,1968.65,4.54,22.15,8.53,40.16,1.28,0.64,0.9,0.0034,0.0019,0.0481,0.0014,74,0.17,381.9,142.84,0
5.7,1.89,1067.06,1159.85,7.01,45.84,14.81,20.53,0.35,2.34,3.22,0.0066,0.0001,0.036,0.0059,143,1.8,251.22,71.36,0
8.24,2.49,991.82,857.54,3.75,43.25,5.86,41.79,2.15,1.2,1.57,0.0086,0.001,0.0356,0.0088,103,1.72,434.96,81.28,0
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
8.01,0.33,317.89,1719.14,10.01,34.39,7.88,39.86,1.36,3.28,0.25,0.0041,0.0008,0.0248,0.0021,0,1.34,215.09,8.13,1
6.76,2.27,1039.17,658.17,9.3,34.94,13.87,45.98,0.48,2.78,2.29,0.0122,0.0006,0.0211,0.0092,63,1.09,240.75,25.01,0
5.7,1.55,1192.93,1378.7,3.47,16.54,14.27,37.48,2.21,2.32,3.09,0.0006,0.0018,0.0394,0.0005,197,1.45,443.39,49.81,0
6.81,2.56,1105.27,244.38,13.83,18.22,4.6,5.8,1.46,4.51,0.59,0.0147,0.0018,0.0114,0.0053,177,0.3,105.87,43.73,0
8.87,4.52,577.15,285.17,13.98,36.6,4.44,49.12,1.16,2.15,0.83,0.0076,0.0014,0.0449,0.005,102,0,127.19,130.53,0
